ID,Equipo,GF,GC
SCH,Schalke 23,,
PAB,Pabellón A,,
DX1,Dominio X+1,,
QUE,El Queme,,
SSO,San Sócalo,,
ANT,Anti Canva F. C.,,
EXP,Expensive Bottles,,
TAR,Tartagal F. C.,,
GHO,Ghostbusters,,
BAS,Bastardos de Richard,,
ARQ,Arquero Fantasma,,
HDV,Herederos de Vega,,
RAM,Rama y sus Ramitas,,
EVS,Evolutions F. C.,,
ADO,Adobe F. C.,,
PMA,Poca Magia F. C.,,
