Grupo,Logo,ID,Equipo,Pts,PJ,PG,PE,PP,GF,GC,Dif
Tabla,BIM_logo,BIM,Bimbineta F. C.,12,4,4,0,0,25,3,22
Tabla,NOT_logo,NOT,Nottingham Miedo,9,4,3,0,1,21,9,12
Tabla,DES_logo,DES,Descaro F. C.,6,4,2,0,2,13,15,-2
Tabla,MAL_logo,MAL,La Mala F. C.,3,4,1,0,3,6,21,-15
Tabla,MUC_logo,MUC,Muchachas,0,4,0,0,4,9,26,-17
